entity_id,legal_name,entity_type,status,application_date,formed_date,address_id,agent_id,building_key,is_cmra
ENT-0000,Benoit Radiology Inc,Radiology,enrolled,,2019-07-12,ADDR-C0000,AGT-007,1578 Main St|30060,False
ENT-0001,Nolan Lab PC,Lab services,enrolled,,2008-10-08,ADDR-C0001,AGT-003,3248 Peachtree St|30901,False
ENT-0002,Ames DME PC,DME supplier,enrolled,,2018-10-23,ADDR-C0002,AGT-002,3334 Riverside Dr|30060,False
ENT-0003,Hune Behavioral LLC,Behavioral health,enrolled,,2023-06-04,ADDR-C0003,AGT-006,9130 Baxter St|30601,False
ENT-0004,Ordway Family LLC,Family practice,enrolled,,2017-10-26,ADDR-C0004,AGT-007,7350 Whitlock Ave|30030,False
ENT-0005,Osei Cardiology Inc,Cardiology,enrolled,,2010-04-10,ADDR-C0005,AGT-000,3699 Whitlock Ave|31201,False
ENT-0006,Boyd DME PC,DME supplier,enrolled,,2017-12-18,ADDR-C0006,AGT-005,3132 Oak Ave|31201,False
ENT-0007,Ablett Cardiology LLC,Cardiology,enrolled,,2017-12-14,ADDR-C0007,AGT-007,5237 Elm St|30075,False
ENT-0008,Vance DME PC,DME supplier,enrolled,,2019-01-29,ADDR-C0008,AGT-007,427 Whitlock Ave|30030,False
ENT-0009,Udall Family Inc,Family practice,enrolled,,2020-12-08,ADDR-C0009,AGT-004,5526 Ponce De Leon Ave|30309,False
ENT-0010,Ablett Lab LLC,Lab services,enrolled,,2012-08-22,ADDR-C0010,AGT-000,6793 Elm St|31901,False
ENT-0011,Reyes Cardiology Inc,Cardiology,enrolled,,2008-06-04,ADDR-C0011,AGT-005,4353 Oak Ave|30075,False
ENT-0012,Quill DME Group,DME supplier,enrolled,,2009-03-18,ADDR-C0012,AGT-000,9135 Riverside Dr|31901,False
ENT-0013,Frost DME Inc,DME supplier,enrolled,,2021-10-08,ADDR-C0013,AGT-004,8702 Clairmont Rd|30030,False
ENT-0014,Sable DME LLC,DME supplier,enrolled,,2020-03-01,ADDR-C0014,AGT-001,1438 Elm St|30309,False
ENT-0015,Gale Behavioral Inc,Behavioral health,enrolled,,2013-05-07,ADDR-C0015,AGT-004,206 Ponce De Leon Ave|30096,False
ENT-0016,Kerr DME PC,DME supplier,enrolled,,2023-09-28,ADDR-C0016,AGT-007,2159 Riverside Dr|30309,False
ENT-0017,Cross Home Group,Home health,enrolled,,2012-10-04,ADDR-C0017,AGT-004,9572 Whitlock Ave|30060,False
ENT-0018,Vance DME Inc,DME supplier,enrolled,,2009-02-15,ADDR-C0018,AGT-003,695 Oak Ave|30030,False
ENT-0019,Lund Radiology LLC,Radiology,enrolled,,2014-08-29,ADDR-C0019,AGT-001,2739 Sycamore Ln|31901,False
ENT-0020,Voss Radiology Inc,Radiology,enrolled,,2018-03-29,ADDR-C0020,AGT-004,4314 Peachtree St|31901,False
ENT-0021,Zane DME PC,DME supplier,enrolled,,2008-02-29,ADDR-C0021,AGT-001,4312 Whitlock Ave|31201,False
ENT-0022,Voss Behavioral PC,Behavioral health,enrolled,,2009-05-19,ADDR-C0022,AGT-004,7475 Clairmont Rd|30601,False
ENT-0023,Pratt Home PC,Home health,enrolled,,2014-03-22,ADDR-C0023,AGT-005,5259 Ponce De Leon Ave|30309,False
ENT-0024,Nolan DME PC,DME supplier,enrolled,,2023-01-01,ADDR-C0024,AGT-001,1185 Highland Ave|31901,False
