entity_id,legal_name,entity_type,formed_date,status,address_id,agent_id,application_date,revoked_date
ENT-0000,Benoit Radiology Inc,Radiology,2019-07-12,enrolled,ADDR-C0000,AGT-007,,
ENT-0001,Nolan Lab PC,Lab services,2008-10-08,enrolled,ADDR-C0001,AGT-003,,
ENT-0002,Ames DME PC,DME supplier,2018-10-23,enrolled,ADDR-C0002,AGT-002,,
ENT-0003,Hune Behavioral LLC,Behavioral health,2023-06-04,enrolled,ADDR-C0003,AGT-006,,
ENT-0004,Ordway Family LLC,Family practice,2017-10-26,enrolled,ADDR-C0004,AGT-007,,
ENT-0005,Osei Cardiology Inc,Cardiology,2010-04-10,enrolled,ADDR-C0005,AGT-000,,
ENT-0006,Boyd DME PC,DME supplier,2017-12-18,enrolled,ADDR-C0006,AGT-005,,
ENT-0007,Ablett Cardiology LLC,Cardiology,2017-12-14,enrolled,ADDR-C0007,AGT-007,,
ENT-0008,Vance DME PC,DME supplier,2019-01-29,enrolled,ADDR-C0008,AGT-007,,
ENT-0009,Udall Family Inc,Family practice,2020-12-08,enrolled,ADDR-C0009,AGT-004,,
ENT-0010,Ablett Lab LLC,Lab services,2012-08-22,enrolled,ADDR-C0010,AGT-000,,
ENT-0011,Reyes Cardiology Inc,Cardiology,2008-06-04,enrolled,ADDR-C0011,AGT-005,,
ENT-0012,Quill DME Group,DME supplier,2009-03-18,enrolled,ADDR-C0012,AGT-000,,
ENT-0013,Frost DME Inc,DME supplier,2021-10-08,enrolled,ADDR-C0013,AGT-004,,
ENT-0014,Sable DME LLC,DME supplier,2020-03-01,enrolled,ADDR-C0014,AGT-001,,
ENT-0015,Gale Behavioral Inc,Behavioral health,2013-05-07,enrolled,ADDR-C0015,AGT-004,,
ENT-0016,Kerr DME PC,DME supplier,2023-09-28,enrolled,ADDR-C0016,AGT-007,,
ENT-0017,Cross Home Group,Home health,2012-10-04,enrolled,ADDR-C0017,AGT-004,,
ENT-0018,Vance DME Inc,DME supplier,2009-02-15,enrolled,ADDR-C0018,AGT-003,,
ENT-0019,Lund Radiology LLC,Radiology,2014-08-29,enrolled,ADDR-C0019,AGT-001,,
ENT-0020,Voss Radiology Inc,Radiology,2018-03-29,enrolled,ADDR-C0020,AGT-004,,
ENT-0021,Zane DME PC,DME supplier,2008-02-29,enrolled,ADDR-C0021,AGT-001,,
ENT-0022,Voss Behavioral PC,Behavioral health,2009-05-19,enrolled,ADDR-C0022,AGT-004,,
ENT-0023,Pratt Home PC,Home health,2014-03-22,enrolled,ADDR-C0023,AGT-005,,
ENT-0024,Nolan DME PC,DME supplier,2023-01-01,enrolled,ADDR-C0024,AGT-001,,
ENT-0025,York Cardiology Group,Cardiology,2019-04-30,enrolled,ADDR-C0025,AGT-006,,
ENT-0026,Nolan Radiology Inc,Radiology,2015-06-18,enrolled,ADDR-C0026,AGT-004,,
ENT-0027,Vance Radiology PC,Radiology,2022-08-19,enrolled,ADDR-C0027,AGT-002,,
ENT-0028,Osei DME LLC,DME supplier,2015-12-15,enrolled,ADDR-C0028,AGT-006,,
ENT-0029,Dunmore Lab Inc,Lab services,2021-04-22,enrolled,ADDR-C0029,AGT-002,,
ENT-0030,Ordway Family PC,Family practice,2010-02-26,enrolled,ADDR-C0030,AGT-004,,
ENT-0031,Roth Cardiology Group,Cardiology,2009-02-05,enrolled,ADDR-C0031,AGT-004,,
ENT-0032,Ward Cardiology Inc,Cardiology,2014-06-29,enrolled,ADDR-C0032,AGT-005,,
ENT-0033,Osei Home Group,Home health,2017-05-04,applying,ADDR-C0033,AGT-002,2026-11-19,
ENT-0034,Lund DME Group,DME supplier,2021-05-05,enrolled,ADDR-C0034,AGT-003,,
ENT-0035,Hart Lab Inc,Lab services,2020-06-07,enrolled,ADDR-C0035,AGT-001,,
ENT-0036,Boyd Family Inc,Family practice,2014-08-29,enrolled,ADDR-C0036,AGT-005,,
ENT-0037,York Cardiology LLC,Cardiology,2023-03-24,enrolled,ADDR-C0037,AGT-006,,
ENT-0038,Frost Home LLC,Home health,2008-12-02,enrolled,ADDR-C0038,AGT-001,,
ENT-0039,Ames Physical PC,Physical therapy,2021-07-12,enrolled,ADDR-C0039,AGT-002,,
ENT-0040,Sable Cardiology LLC,Cardiology,2019-04-13,enrolled,ADDR-C0040,AGT-003,,
ENT-0041,Voss DME Inc,DME supplier,2016-10-30,applying,ADDR-C0041,AGT-007,2026-03-10,
ENT-0042,Zane Family Inc,Family practice,2018-02-22,applying,ADDR-C0042,AGT-001,2026-11-19,
ENT-0043,Hune Home LLC,Home health,2011-02-05,enrolled,ADDR-C0043,AGT-004,,
ENT-0044,Osei Cardiology Inc,Cardiology,2018-10-06,enrolled,ADDR-C0044,AGT-006,,
ENT-0045,Frost Behavioral Inc,Behavioral health,2010-01-23,enrolled,ADDR-C0045,AGT-003,,
ENT-0046,Ward Home Inc,Home health,2010-03-12,enrolled,ADDR-C0046,AGT-005,,
ENT-0047,Ablett Cardiology LLC,Cardiology,2011-10-07,enrolled,ADDR-C0047,AGT-006,,
ENT-0048,Calder Family Group,Family practice,2018-05-07,enrolled,ADDR-C0048,AGT-001,,
ENT-0049,Nolan DME Group,DME supplier,2010-01-24,enrolled,ADDR-C0049,AGT-005,,
ENT-0050,Zane Behavioral Group,Behavioral health,2015-07-10,enrolled,ADDR-C0050,AGT-001,,
ENT-0051,Boyd Home LLC,Home health,2016-02-24,applying,ADDR-C0051,AGT-004,2026-02-01,
ENT-0052,Vance Radiology PC,Radiology,2018-01-30,applying,ADDR-C0052,AGT-004,2024-10-04,
ENT-0053,Pratt DME Group,DME supplier,2009-02-19,enrolled,ADDR-C0053,AGT-007,,
ENT-0054,Hune Behavioral Group,Behavioral health,2019-08-03,enrolled,ADDR-C0054,AGT-003,,
ENT-0055,Quill Radiology Group,Radiology,2021-03-02,enrolled,ADDR-C0055,AGT-005,,
ENT-0056,Boyd Lab Group,Lab services,2021-09-27,enrolled,ADDR-C0056,AGT-006,,
ENT-0057,Voss Family LLC,Family practice,2009-02-18,enrolled,ADDR-C0057,AGT-000,,
ENT-0058,Osei Radiology Group,Radiology,2017-09-02,enrolled,ADDR-C0058,AGT-006,,
ENT-0059,Udall Behavioral Group,Behavioral health,2022-06-23,enrolled,ADDR-C0059,AGT-004,,
ENT-0060,Calder Family Group,Family practice,2019-08-26,enrolled,ADDR-C0060,AGT-007,,
ENT-0061,Ames Family LLC,Family practice,2008-03-29,applying,ADDR-C0061,AGT-006,2026-09-15,
ENT-0062,Lund DME Inc,DME supplier,2023-02-04,enrolled,ADDR-C0062,AGT-006,,
ENT-0063,Pratt DME Inc,DME supplier,2017-11-16,enrolled,ADDR-C0063,AGT-001,,
ENT-0064,Vance Cardiology PC,Cardiology,2020-09-13,enrolled,ADDR-C0064,AGT-004,,
ENT-0065,Dunmore Cardiology PC,Cardiology,2020-12-11,enrolled,ADDR-C0065,AGT-004,,
ENT-0066,Benoit Behavioral PC,Behavioral health,2011-05-18,enrolled,ADDR-C0066,AGT-003,,
ENT-0067,Lund Lab LLC,Lab services,2021-01-04,applying,ADDR-C0067,AGT-000,2026-07-30,
ENT-0068,Udall Behavioral PC,Behavioral health,2013-09-26,enrolled,ADDR-C0068,AGT-001,,
ENT-0069,Benoit Family LLC,Family practice,2023-09-08,enrolled,ADDR-C0069,AGT-002,,
ENT-0070,Voss Cardiology LLC,Cardiology,2015-08-23,enrolled,ADDR-C0070,AGT-005,,
ENT-0071,Quill Cardiology PC,Cardiology,2014-01-22,enrolled,ADDR-C0071,AGT-007,,
ENT-0072,Quill Behavioral PC,Behavioral health,2014-11-20,enrolled,ADDR-C0072,AGT-002,,
ENT-0073,Marsh Radiology Group,Radiology,2021-03-13,enrolled,ADDR-C0073,AGT-007,,
ENT-0074,Pike Lab LLC,Lab services,2016-10-25,enrolled,ADDR-C0074,AGT-000,,
ENT-0075,Calder Family PC,Family practice,2019-01-01,applying,ADDR-C0075,AGT-004,2025-06-05,
ENT-0076,Zane Cardiology PC,Cardiology,2023-10-08,applying,ADDR-C0076,AGT-006,2026-06-03,
ENT-0077,Ablett Family Group,Family practice,2015-03-26,enrolled,ADDR-C0077,AGT-002,,
ENT-0078,Gale Lab Group,Lab services,2022-01-29,enrolled,ADDR-C0078,AGT-005,,
ENT-0079,Osei Behavioral Group,Behavioral health,2023-03-26,enrolled,ADDR-C0079,AGT-002,,
ENT-0080,Ordway Radiology LLC,Radiology,2023-07-31,enrolled,ADDR-C0080,AGT-007,,
ENT-0081,York Physical PC,Physical therapy,2009-10-05,enrolled,ADDR-C0081,AGT-003,,
ENT-0082,Ordway Home LLC,Home health,2010-11-22,enrolled,ADDR-C0082,AGT-000,,
ENT-0083,Udall Behavioral Inc,Behavioral health,2015-08-19,enrolled,ADDR-C0083,AGT-006,,
ENT-0084,Calder Cardiology LLC,Cardiology,2016-07-02,enrolled,ADDR-C0084,AGT-000,,
ENT-0085,Calder Cardiology LLC,Cardiology,2022-05-04,enrolled,ADDR-C0085,AGT-004,,
ENT-0086,Ames Family Group,Family practice,2020-01-04,enrolled,ADDR-C0086,AGT-007,,
ENT-0087,Thorpe Cardiology PC,Cardiology,2008-12-14,enrolled,ADDR-C0087,AGT-000,,
