own_id,entity_id,individual_id,pct,role,start_date,end_date
OWN-1001,ENT-0000,IND-C0000,100.0,managing owner,2019-07-12,
OWN-1002,ENT-0001,IND-C0001,100.0,managing owner,2008-10-08,
OWN-1003,ENT-0002,IND-C0002,100.0,managing owner,2018-10-23,
OWN-1004,ENT-0003,IND-C0003,100.0,managing owner,2023-06-04,
OWN-1005,ENT-0004,IND-C0004,100.0,managing owner,2017-10-26,
OWN-1006,ENT-0005,IND-C0005,100.0,managing owner,2010-04-10,
OWN-1007,ENT-0006,IND-C0006,100.0,managing owner,2017-12-18,
OWN-1008,ENT-0007,IND-C0007,100.0,managing owner,2017-12-14,
OWN-1009,ENT-0008,IND-C0008,100.0,managing owner,2019-01-29,
OWN-1010,ENT-0009,IND-C0009,100.0,managing owner,2020-12-08,
OWN-1011,ENT-0010,IND-C0010,100.0,managing owner,2012-08-22,
OWN-1012,ENT-0011,IND-C0011,100.0,managing owner,2008-06-04,
OWN-1013,ENT-0012,IND-C0012,100.0,managing owner,2009-03-18,
OWN-1014,ENT-0013,IND-C0013,100.0,managing owner,2021-10-08,
OWN-1015,ENT-0014,IND-C0014,100.0,managing owner,2020-03-01,
OWN-1016,ENT-0015,IND-C0015,100.0,managing owner,2013-05-07,
OWN-1017,ENT-0016,IND-C0016,100.0,managing owner,2023-09-28,
OWN-1018,ENT-0017,IND-C0017,100.0,managing owner,2012-10-04,
OWN-1019,ENT-0018,IND-C0018,100.0,managing owner,2009-02-15,
OWN-1020,ENT-0019,IND-C0019,100.0,managing owner,2014-08-29,
OWN-1021,ENT-0020,IND-C0020,100.0,managing owner,2018-03-29,
OWN-1022,ENT-0021,IND-C0021,100.0,managing owner,2008-02-29,
OWN-1023,ENT-0022,IND-C0022,100.0,managing owner,2009-05-19,
OWN-1024,ENT-0023,IND-C0023,100.0,managing owner,2014-03-22,
OWN-1025,ENT-0024,IND-C0024,100.0,managing owner,2023-01-01,
OWN-1026,ENT-0025,IND-C0025,100.0,managing owner,2019-04-30,
OWN-1027,ENT-0026,IND-C0026,100.0,managing owner,2015-06-18,
OWN-1028,ENT-0027,IND-C0027,100.0,managing owner,2022-08-19,
OWN-1029,ENT-0028,IND-C0028,100.0,managing owner,2015-12-15,
OWN-1030,ENT-0029,IND-C0029,100.0,managing owner,2021-04-22,
OWN-1031,ENT-0030,IND-C0030,100.0,managing owner,2010-02-26,
OWN-1032,ENT-0031,IND-C0031,100.0,managing owner,2009-02-05,
OWN-1033,ENT-0032,IND-C0032,100.0,managing owner,2014-06-29,
OWN-1034,ENT-0033,IND-C0033,100.0,managing owner,2017-05-04,
OWN-1035,ENT-0034,IND-C0034,100.0,managing owner,2021-05-05,
OWN-1036,ENT-0035,IND-C0035,100.0,managing owner,2020-06-07,
OWN-1037,ENT-0036,IND-C0036,100.0,managing owner,2014-08-29,
OWN-1038,ENT-0037,IND-C0037,100.0,managing owner,2023-03-24,
OWN-1039,ENT-0038,IND-C0038,100.0,managing owner,2008-12-02,
OWN-1040,ENT-0039,IND-C0039,100.0,managing owner,2021-07-12,
OWN-1041,ENT-0040,IND-C0040,100.0,managing owner,2019-04-13,
